"Gene","Module"
"ANKRD30A","grey"
"ANKRD30B","grey"
"ANKRD30BL","grey"
"ANKRD30BP2","grey"
"ANKRD30BP3","grey"
"ANKRD31","grey"
"ANKRD33","turquoise"
"ANKRD33B","turquoise"
"ANKRD34A","turquoise"
"ANKRD34B","grey"
"ANKRD34C","grey"
"ANKRD35","grey"
"ANKRD36","grey"
"ANKRD36B","grey"
"ANKRD36BP1","grey"
"ANKRD36C","grey"
"ANKRD37","grey"
"ANKRD39","blue"
"ANKRD40","brown"
"ANKRD40CL","cyan"
"ANKRD42","turquoise"
"ANKRD44","pink"
"ANKRD45","grey"
"ANKRD46","grey"
"ANKRD49","grey"
"ANKRD50","green"
"ANKRD52","brown"
"ANKRD53","turquoise"
"ANKRD54","blue"
"ANKRD55","grey"
"ANKRD6","grey"
"ANKRD60","turquoise"
"ANKRD61","grey"
"ANKRD62","yellow"
"ANKRD62P1-PARP4P3","yellow"
"ANKRD7","grey"
"ANKRD9","turquoise"
"ANKS1A","brown"
"ANKS1B","greenyellow"
"ANKS3","turquoise"
"ANKS4B","grey"
"ANKS6","grey"
"ANKZF1","grey"
"ANLN","purple"
"ANO1","black"
"ANO10","turquoise"
"ANO2","grey"
"ANO3","grey"
"ANO4","grey"
"ANO5","yellow"
"ANO6","grey"
"ANO7","turquoise"
"ANO8","grey"
"ANO9","brown"
"ANOS1","green"
"ANP32A","grey"
"ANP32A-IT1","grey"
"ANP32AP1","turquoise"
"ANP32B","grey"
"ANP32CP","grey"
"ANP32D","grey"
"ANP32E","blue"
"ANPEP","yellow"
"ANTKMT","turquoise"
"ANTXR1","green"
"ANTXR2","yellow"
"ANTXRL","grey"
"ANXA1","green"
"ANXA10","grey"
"ANXA11","grey"
"ANXA13","grey"
"ANXA2","green"
"ANXA2P1","black"
"ANXA2P2","green"
"ANXA2P3","grey"
"ANXA2R","red"
"ANXA2R-AS1","brown"
"ANXA2R-OT1","grey"
"ANXA3","black"
"ANXA4","lightcyan"
"ANXA5","green"
"ANXA6","salmon"
"ANXA7","blue"
"ANXA8","grey"
"ANXA8L1","grey"
"ANXA9","yellow"
"AOAH","pink"
"AOC1","black"
"AOC2","turquoise"
"AOC3","tan"
"AOPEP","grey"
"AOX1","black"
"AP1AR","blue"
"AP1B1","grey"
"AP1G1","grey"
"AP1G2","brown"
"AP1M1","magenta"
"AP1M2","lightcyan"
"AP1S1","grey"
"AP1S2","brown"
"AP1S3","black"
"AP2A1","brown"
"AP2A2","grey"
"AP2B1","green"
"AP2M1","green"
"AP2S1","grey"
"AP3B1","turquoise"
"AP3B2","grey"
"AP3D1","brown"
"AP3M1","grey"
"AP3M2","green"
"AP3S1","grey"
"AP4B1","blue"
"AP4E1","blue"
"AP4M1","grey"
"AP4S1","blue"
"AP5B1","grey"
"AP5M1","blue"
"AP5S1","blue"
"AP5Z1","grey"
"APAF1","blue"
"APBA1","grey"
"APBA2","grey"
"APBA3","turquoise"
"APBB1","grey"
"APBB1IP","pink"
"APBB2","green"
"APBB3","brown"
"APC","turquoise"
"APC2","turquoise"
"APCDD1","brown"
"APCDD1L","turquoise"
"APCS","grey"
"APEH","grey"
"APEX1","brown"
"APEX2","grey"
"APH1A","turquoise"
"APH1B","grey"
"API5","grey"
"APIP","grey"
"APLF","grey"
"APLN","grey"
"APLNR","grey"
"APLP1","yellow"
"APLP2","green"
"APMAP","blue"
"APOA1","grey"
"APOA2","grey"
"APOA4","cyan"
"APOA5","grey"
"APOB","cyan"
"APOBEC1","grey"
"APOBEC2","grey"
"APOBEC3A_B","grey"
"APOBEC3C","red"
"APOBEC3D","red"
"APOBEC3F","red"
"APOBEC3G","red"
"APOBEC3H","grey"
"APOBEC4","grey"
"APOBR","brown"
"APOC1","grey"
"APOC2","grey"
"APOC3","cyan"
"APOC4","turquoise"
"APOD","grey"
"APOE","grey"
"APOF","grey"
"APOH","greenyellow"
"APOL1","green"
"APOL2","green"
"APOL3","pink"
"APOL4","grey"
"APOL5","grey"
"APOL6","grey"
"APOLD1","grey"
"APOM","grey"
"APOO","brown"
"APOOL","grey"
"APP","grey"
"APPBP2","blue"
"APPL1","blue"
"APPL2","grey"
"APRG1","grey"
"APRT","brown"
"APTX","blue"
"AQP1","grey"
"AQP10","cyan"
"AQP11","cyan"
"AQP12A","yellow"
"AQP2","turquoise"
"AQP3","grey"
"AQP4","grey"
"AQP4-AS1","grey"
"AQP5","grey"
"AQP6","turquoise"
"AQP7","grey60"
"AQP7P1","grey60"
"AQP7P3","tan"
"AQP8","yellow"
"AQP9","grey"
"AQR","turquoise"
"AR","grey"
"ARAF","brown"
"ARAFP2","turquoise"
"ARAP1","grey"
"ARAP2","blue"
"ARAP3","blue"
"ARB2A","blue"
"ARB2BP","grey"
"ARC","turquoise"
"ARCN1","grey"
"AREG","grey"
"AREL1","brown"
"ARF1","brown"
"ARF3","brown"
"ARF4","turquoise"
"ARF5","grey"
"ARF6","blue"
"ARFGAP1","brown"
"ARFGAP2","grey"
"ARFGAP3","blue"
"ARFGEF1","blue"
"ARFGEF2","grey"
"ARFGEF3","grey"
"ARFIP1","blue"
"ARFIP2","grey"
"ARFRP1","grey"
"ARG1","grey"
"ARG2","grey"
"ARGFX","grey"
"ARGLU1","blue"
"ARHGAP1","brown"
"ARHGAP10","brown"
"ARHGAP11A","purple"
"ARHGAP11B","purple"
"ARHGAP12","blue"
"ARHGAP15","pink"
"ARHGAP17","brown"
"ARHGAP18","grey"
"ARHGAP19","turquoise"
"ARHGAP19-SLIT1","grey"
"ARHGAP20","grey"
"ARHGAP21","green"
"ARHGAP22","grey"
"ARHGAP23","grey"
"ARHGAP24","grey"
"ARHGAP25","red"
"ARHGAP26","yellow"
"ARHGAP27","turquoise"
"ARHGAP27P1-BPTFP1-KPNA2P3","grey"
"ARHGAP27P2","turquoise"
"ARHGAP28","grey"
"ARHGAP29","grey"
"ARHGAP30","pink"
"ARHGAP31","salmon"
"ARHGAP32","black"
"ARHGAP33","turquoise"
"ARHGAP35","grey"
"ARHGAP36","turquoise"
"ARHGAP39","turquoise"
"ARHGAP4","red"
"ARHGAP40","turquoise"
"ARHGAP42","yellow"
"ARHGAP44","grey"
"ARHGAP45","red"
"ARHGAP5","blue"
"ARHGAP5-AS1","grey"
"ARHGAP6","grey"
"ARHGAP8","blue"
"ARHGAP9","red"
"ARHGDIA","brown"
"ARHGDIB","red"
"ARHGDIG","yellow"
"ARHGEF1","red"
"ARHGEF10","grey"
"ARHGEF10L","grey"
"ARHGEF11","grey"
"ARHGEF12","grey"
"ARHGEF15","grey60"
"ARHGEF16","grey"
"ARHGEF17","magenta"
"ARHGEF18","grey"
"ARHGEF19","blue"
"ARHGEF2","yellow"
"ARHGEF25","midnightblue"
"ARHGEF26","grey"
"ARHGEF28","lightcyan"
"ARHGEF3","grey"
"ARHGEF35","grey"
"ARHGEF37","grey"
"ARHGEF38","lightcyan"
"ARHGEF39","turquoise"
"ARHGEF4","grey"
"ARHGEF40","grey"
"ARHGEF5","grey"
"ARHGEF6","pink"
"ARHGEF7","grey"
"ARHGEF9","brown"
"ARID1A","brown"
"ARID1B","brown"
"ARID2","grey"
"ARID3A","turquoise"
"ARID3B","grey"
"ARID3C","turquoise"
"ARID4A","blue"
"ARID4B","blue"
"ARID5A","grey"
"ARID5B","pink"
"ARIH1","grey"
"ARIH2","grey"
"ARIH2OS","turquoise"
"ARK2C","turquoise"
"ARK2N","blue"
"ARL1","grey"
"ARL10","grey"
"ARL11","grey"
"ARL13A","grey"
"ARL13B","brown"
"ARL14","grey"
"ARL14EP","grey"
"ARL15","grey"
"ARL17A","grey"
"ARL17B","grey"
"ARL2","brown"
"ARL2BP","brown"
"ARL3","blue"
"ARL4A","blue"
"ARL4C","green"
"ARL4D","grey"
"ARL5A","grey"
"ARL5B","brown"
"ARL5C","yellow"
"ARL6","blue"
"ARL6IP1","brown"
"ARL6IP4","brown"
"ARL6IP5","grey"
"ARL6IP6","grey"
"ARL8A","brown"
"ARL8B","grey"
"ARL9","grey"
"ARLN","blue"
"ARMC1","blue"
"ARMC10","grey"
"ARMC12","turquoise"
"ARMC2","grey"
"ARMC3","grey"
"ARMC5","turquoise"
"ARMC6","grey"
"ARMC7","grey"
"ARMC8","blue"
"ARMC9","green"
"ARMCX1","brown"
"ARMCX2","grey"
"ARMCX3","brown"
"ARMCX4","blue"
"ARMCX5","grey"
"ARMCX6","grey"
"ARMH1","turquoise"
"ARMH3","brown"
"ARMH4","midnightblue"
"ARMT1","blue"
"ARNT","brown"
"ARNT2","grey"
"ARPC1A","blue"
"ARPC1B","magenta"
"ARPC2","magenta"
"ARPC3","blue"
"ARPC4","magenta"
"ARPC5","grey"
"ARPC5L","blue"
"ARPIN-AP3S2","brown"
"ARPP19","grey"
"ARPP21","grey"
"ARR3","grey"
"ARRB1","brown"
"ARRB2","red"
"ARRDC1","grey"
"ARRDC1-AS1","brown"
"ARRDC2","blue"
"ARRDC3","green"
"ARRDC4","grey"
"ARSA","blue"
"ARSB","grey"
"ARSD","grey"
"ARSF","grey"
"ARSG","grey"
"ARSH","turquoise"
"ARSI","grey"
"ARSJ","grey"
"ARSK","grey"
"ARSL","yellow"
"ART1","turquoise"
"ART3","grey"
"ART4","grey"
"ART5","turquoise"
"ARTN","turquoise"
"ARV1","grey"
"ARVCF","grey"
"ARX","turquoise"
"AS3MT","blue"
"ASAH1","grey"
"ASAH2B","cyan"
"ASAP1","green"
"ASAP2","black"
"ASAP3","grey"
"ASB1","grey"
"ASB10","turquoise"
"ASB11","grey"
"ASB12","grey"
"ASB13","grey"
"ASB14","grey"
"ASB15","grey"
"ASB16","turquoise"
"ASB16-AS1","brown"
"ASB17","brown"
"ASB18","turquoise"
"ASB2","grey"
"ASB4","grey"
"ASB5","grey"
"ASB6","brown"
"ASB7","grey"
"ASB8","brown"
"ASB9","greenyellow"
"ASCC1","blue"
"ASCC2","brown"
"ASCC3","blue"
"ASCL1","turquoise"
"ASCL2","turquoise"
"ASCL3","grey"
"ASCL4","turquoise"
"ASCL5","turquoise"
"ASF1A","grey"
"ASF1B","purple"
"ASGR1","turquoise"
"ASGR2","grey"
"ASH1L","grey"
"ASH2L","grey"
"ASIC1","blue"
"ASIC2","brown"
"ASIC3","turquoise"
"ASIC4","grey"
"ASIC5","grey"
"ASIP","turquoise"
"ASL","grey"
"ASMT","grey"
"ASMTL","turquoise"
"ASMTL-AS1","grey"
"ASNS","blue"
"ASNSD1","blue"
"ASPA","tan"
"ASPDH","turquoise"
"ASPG","turquoise"
"ASPH","grey"
"ASPHD1","grey"
"ASPHD2","grey"
"ASPM","purple"
