"Gene","MM","GS"
"MISP",0.776824160678068,0.479881154575834
"AGR2",0.776659281814423,0.529672003263841
"TRIP10",0.7757154489965,0.598382395769608
"COL17A1",0.774959279634586,0.574988398204285
"FER1L4",0.774319372744428,0.556515404174449
"PLEC",0.77385300191328,0.580126696105093
"INF2",0.773214469125515,0.517437534843057
"CAPN5",0.772963231674791,0.460872847681319
"SLC37A1",0.772721212916296,0.43551632216175
"GALNT5",0.772602709949465,0.585646453526552
"ST6GALNAC1",0.772161680882553,0.513364265489473
"ST14",0.770351291859439,0.358177566385533
"CAMK2N1",0.768903509255353,0.523413009651126
"FUT2",0.767789276999593,0.431800178390535
"SMURF1",0.767733299467607,0.502536675503247
"CKMT1B",0.766305363817581,0.448794685724986
"GAPDH",0.766293247897665,0.572367787484034
"FAT1",0.765889838138526,0.510957351599873
"GCNT3",0.764896564671139,0.497707905889898
"TRPM4",0.763867907903794,0.499583830416727
"IGF2BP2",0.762844686829351,0.475719821980957
"EPS8L3",0.762237695843298,0.464418693184941
"MYO19",0.760123555661367,0.440419678536337
"PLCB3",0.759744460345172,0.502788689632097
"HK2",0.75842785880616,0.556879391469069
"TMEM63B",0.758353383003555,0.443340546978265
"DTX4",0.758234766332351,0.456465830267023
"GTF2IRD1",0.757980159588868,0.41621436488499
"RAPGEFL1",0.75766809450725,0.404614172235782
"SHROOM3",0.757597867624608,0.408498640107693
"MYEOV",0.757022517855015,0.468977133687474
"PTPRH",0.757009351985631,0.409329941145767
"SEC14L2",0.756217342876209,0.538993993264221
"TUFT1",0.75601986655201,0.430079243908823
"RAC1",0.754961158005187,0.528022541631674
"PLIN3",0.754431598973967,0.541293357545465
"GIPC1",0.753950141546862,0.504471297528364
"NEU1",0.753833088800738,0.403055145424684
"LINC01559",0.752343704275144,0.489564817803499
"PIAS3",0.751791935812722,0.564565604325355
"GPX2",0.749956814762901,0.489831852199709
"MAL2",0.749787585769476,0.409218501426564
"GSS",0.748932317027147,0.506663145566741
"SCEL",0.748681603270937,0.529518765715912
"SDR16C5",0.748108083320118,0.536499870451215
"SCNN1A",0.747066625474905,0.381368100334188
"LGALS3BP",0.746167579445008,0.561657695178474
"C15orf48",0.745741110377911,0.458049609387217
"CBLC",0.745520743096654,0.398909233203788
"ADAP1",0.744569487868849,0.441370704842113
"RAB25",0.743791557637694,0.375734791940267
"C19orf33",0.742334907068297,0.451542158200921
"LAMA3",0.741838201342737,0.563382164956822
"STYK1",0.741544837683615,0.519259851684311
"TGFA",0.740690700322618,0.441683196038988
"FA2H",0.740413479721855,0.42432784709632
"TMEM131L",-0.739319608009309,-0.48725663145113
"ANXA3",0.738049219336718,0.429097420144463
"ABHD17C",0.737464967626723,0.432764001094133
"SEMA4B",0.735306012447324,0.432064965320266
"ID1",0.73522898294491,0.47868092290843
"PLEKHA7",0.734090976613289,0.403193871969903
"DKK1",0.733769695411683,0.510981447830116
"BMAL2",0.733516858557588,0.510118648245562
"CD55",0.732970000484213,0.558550535330742
"EZR",0.732923723197721,0.444870334888051
"SPATS2L",0.73239375398006,0.526241723862196
"TSTD1",0.732192592546343,0.37129935744751
"GPR35",0.729982977923597,0.501878711168851
"PADI1",0.728816445777382,0.492436068652933
"KCNK1",0.728163703517818,0.469694261271141
"GABRP",0.726759333303683,0.533603997716045
"SLC16A3",0.725526715685856,0.537857995303757
"CELSR1",0.725390512351359,0.504841321140619
"NET1",0.723959914294055,0.543100797110704
"KIF13B",0.722749889782332,0.458966156425532
"LDHA",0.722584878518015,0.557406712059351
"LY6E",0.721519862117561,0.582201557858545
"AGRN",0.721499076490928,0.410690424631659
"PIP4K2C",0.721288669914925,0.406287422176227
"MUC3B",0.719329996056725,0.439377030062049
