"Gene","Module"
"ALG8","brown"
"ALG9","grey"
"ALKAL1","grey"
"ALKAL2","green"
"ALKBH1","grey"
"ALKBH2","cyan"
"ALKBH3","grey"
"ALKBH4","blue"
"ALKBH6","turquoise"
"ALKBH7","turquoise"
"ALKBH8","turquoise"
"ALMS1","grey"
"ALMS1P1","brown"
"ALOX12P2","grey"
"ALOX15B","grey"
"ALOX5","red"
"ALOX5AP","red"
"ALPG","grey"
"ALPI","salmon"
"ALPK1","blue"
"ALPK2","grey"
"ALPK3","grey"
"ALPL","grey"
"ALPP","brown"
"ALS2","turquoise"
"ALS2CL","pink"
"ALX3","blue"
"ALX4","blue"
"ALYREF","grey"
"AMACR","grey"
"AMBP","yellow"
"AMBRA1","brown"
"AMD1","turquoise"
"AMDHD2","turquoise"
"AMER1","grey"
"AMFR","brown"
"AMH","blue"
"AMHR2","green"
"AMIGO1","blue"
"AMIGO2","turquoise"
"AMIGO3","turquoise"
"AMMECR1L","blue"
"AMN","blue"
"AMN1","turquoise"
"AMOT","grey"
"AMOTL1","grey"
"AMOTL2","grey"
"AMPD1","grey"
"AMPD2","grey"
"AMPD3","grey"
"AMPH","grey"
"AMT","grey"
"AMTN","grey"
"AMY2A","yellow"
"AMZ1","blue"
"AMZ2","grey"
"AMZ2P1","grey"
"ANAPC1","blue"
"ANAPC10","turquoise"
"ANAPC11","grey"
"ANAPC13","turquoise"
"ANAPC15","brown"
"ANAPC16","yellow"
"ANAPC1P1","grey"
"ANAPC1P2","brown"
"ANAPC2","turquoise"
"ANAPC4","turquoise"
"ANAPC5","grey"
"ANAPC7","blue"
"ANG","grey"
"ANGEL1","green"
"ANGEL2","turquoise"
"ANGPT1","tan"
"ANGPT2","green"
"ANGPTL1","tan"
"ANGPTL2","black"
"ANGPTL4","turquoise"
"ANGPTL6","blue"
"ANGPTL7","grey"
"ANGPTL8","blue"
"ANK1","grey"
"ANK2","tan"
"ANK3","grey"
"ANKAR","grey"
"ANKEF1","yellow"
"ANKFN1","grey"
"ANKFY1","black"
"ANKH","black"
"ANKIB1","blue"
"ANKLE2","pink"
"ANKMY1","turquoise"
"ANKMY2","turquoise"
"ANKRA2","grey"
"ANKRD1","grey"
"ANKRD10","turquoise"
"ANKRD11","blue"
"ANKRD12","grey"
"ANKRD13A","grey"
"ANKRD13B","turquoise"
"ANKRD13C","turquoise"
"ANKRD13C-DT","grey"
"ANKRD13D","yellow"
"ANKRD18A","lightcyan"
"ANKRD18B","grey"
"ANKRD2","blue"
"ANKRD20A11P","grey"
"ANKRD20A12P","grey"
"ANKRD20A2P","green"
"ANKRD20A5P","grey"
"ANKRD20A8P","green"
"ANKRD22","grey"
