"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"BCAS1","pink",0.845489709222258,4.6260743455605e-67,0.553566426943548,9.44032288859743e-21,TRUE
"NNMT","black",0.844892953950511,7.05973273321165e-67,0.335683439468476,9.30165621719073e-08,TRUE
"S100P","pink",0.84318550380991,2.34307871501811e-66,0.574152024817465,1.55836595874711e-22,TRUE
"FSTL1","black",0.842797152475827,3.07196183039085e-66,0.347244738367433,3.0967021058693e-08,TRUE
"RAB34","black",0.842525194696939,3.7119316855662e-66,0.438647036710233,9.37880217478591e-13,TRUE
"TGFBI","black",0.842047257768729,5.17192917945112e-66,0.47795037531117,3.69765583360424e-15,TRUE
"ZFPM2","black",0.841810208045999,6.09428614266391e-66,0.241995785755153,0.000148362088533071,TRUE
"NREP","black",0.841592571678313,7.0835837640173e-66,0.512444070746002,1.54283112757531e-17,TRUE
"STING1","black",0.841010505711588,1.05801989111969e-65,0.430542213334807,2.69566216760502e-12,TRUE
"SEPTIN11","black",0.840886206807041,1.15242220870842e-65,0.335800725639788,9.20050613946281e-08,TRUE
"CTSE","pink",0.840759043279147,1.25762690928701e-65,0.622071542563488,3.30711268091941e-27,TRUE
"DOCK5","pink",0.840724228778583,1.28805134948888e-65,0.546303478239729,3.75756402804297e-20,TRUE
"TPM2","black",0.840521639213743,1.48010988320916e-65,0.452782474980818,1.38918001894649e-13,TRUE
"MGAT4B","pink",0.839913016862287,2.24452336043626e-65,0.501866925776644,8.84568166788023e-17,TRUE
"PKM","pink",0.839832887999892,2.37069191970105e-65,0.606303126206928,1.39569860907465e-25,TRUE
"ELK3","black",0.839786890266349,2.44626438210388e-65,0.382221391425144,8.38608491774968e-10,TRUE
"MIR492","pink",0.838067437251465,7.85010231633886e-65,0.551253630255212,1.47098901058413e-20,TRUE
"MTMR11","pink",0.837986413933971,8.29067585505597e-65,0.592126562721373,3.3939519361762e-24,TRUE
"AHNAK2","pink",0.836789307958249,1.85119623150297e-64,0.659997024651921,1.60490179997539e-31,TRUE
"CEACAM6","pink",0.836732150201207,1.92326340196109e-64,0.596970624047328,1.16106439404132e-24,TRUE
"MET","pink",0.83656967746654,2.14363526337593e-64,0.540834482664408,1.04024346018517e-19,TRUE
"LUZP6","black",0.836084593443554,2.96144266013857e-64,0.36173879148918,7.31428539773243e-09,TRUE
"NID1","black",0.835936371710379,3.26811841918339e-64,0.309066093608144,9.91176980291713e-07,TRUE
"CLDN12","pink",0.835197555908287,5.33301665605442e-64,0.488146229469866,7.80261991776143e-16,TRUE
"TMEM43","black",0.834791184004961,6.97432665274635e-64,0.384580243766355,6.47103547904973e-10,TRUE
"SLC6A6","black",0.834788557577046,6.98641526174394e-64,0.552747402827373,1.1050213013746e-20,TRUE
"FLNB","pink",0.833307082648854,1.84671424950503e-63,0.543677014916699,6.14173745041798e-20,TRUE
"CEACAM1","pink",0.831820222580144,4.85204735733679e-63,0.546890731937344,3.36464314363119e-20,TRUE
"ERO1A","pink",0.83108098376114,7.81589351954391e-63,0.514972968321044,1.00706598916738e-17,TRUE
"TBC1D2B","black",0.830778499839147,9.49318702797868e-63,0.358310381247182,1.03578679724506e-08,TRUE
"TCF4","black",0.830161576238584,1.40960854926258e-62,0.250515160389707,8.43478926373053e-05,TRUE
"TRIM16","pink",0.829725292781497,1.86250206399291e-62,0.565103787574985,9.80361151574196e-22,TRUE
"SDCBP2","pink",0.829483572664386,2.17263648071807e-62,0.509936407048051,2.34698770394787e-17,TRUE
"LBH","black",0.829287936813477,2.46063747023755e-62,0.44170790500997,6.2487140235674e-13,TRUE
"COL4A2","black",0.82926101315845,2.50312266915576e-62,0.472004361382823,8.94802572958308e-15,TRUE
"GLT8D2","black",0.829192149838548,2.61512001607866e-62,0.322773675459383,3.01499139660097e-07,TRUE
"ARPC1B","black",0.828503735526072,4.04631488186194e-62,0.456837547259015,7.90084980054324e-14,TRUE
"SERPINB5","pink",0.828394421155079,4.33594452517969e-62,0.571382181087162,2.75288267888889e-22,TRUE
"COL6A3","black",0.828312209335575,4.5671979831943e-62,0.435467844185269,1.42383362980872e-12,TRUE
"LOX","black",0.827339984916295,8.42570661072091e-62,0.383488239382413,7.29802590551001e-10,TRUE
"MICAL2","pink",0.826951733398865,1.07485424818139e-61,0.597571759187091,1.01506735963434e-24,TRUE
"CYTH3","black",0.826602184740401,1.33760033041356e-61,0.447418813835997,2.89726715863266e-13,TRUE
"TRIO","black",0.826161612589675,1.76089095746358e-61,0.439032698724185,8.91300291891863e-13,TRUE
"FBN1","black",0.826027998651003,1.91372117115315e-61,0.369249009106539,3.3642628170112e-09,TRUE
"OSMR","black",0.825910216149454,2.05928481266764e-61,0.413060793589229,2.39338129424469e-11,TRUE
"ATP2B4","black",0.825447933126601,2.74438296367157e-61,0.42622593473006,4.67648490629081e-12,TRUE
"S100A11","pink",0.825187177588101,3.22579601451257e-61,0.622318214135855,3.11377596250748e-27,TRUE
"MALL","pink",0.825008859259919,3.60222564653066e-61,0.58092549450686,3.78802896316583e-23,TRUE
"ANXA2P1","pink",0.824855627582654,3.96020722196344e-61,0.608518948069044,8.35339276176942e-26,TRUE
"ZNF521","black",0.824520760189757,4.86967294049281e-61,0.297217667514515,2.64479947203024e-06,TRUE
"SSH1","black",0.824342899981473,5.43386229221158e-61,0.414668578775032,1.96814676255465e-11,TRUE
"EGLN3","pink",0.823816377196916,7.51158614550943e-61,0.540134741421522,1.18341661765538e-19,TRUE
"LEF1","black",0.823270438660476,1.04965456238595e-60,0.552968059831117,1.05916969892472e-20,TRUE
"KLF5","pink",0.823018983085987,1.22407803821106e-60,0.485114124847147,1.24604208478109e-15,TRUE
"PMP22","black",0.822626642327978,1.55512925693596e-60,0.306744293839932,1.20547695383821e-06,TRUE
"GLI3","black",0.822351604261547,1.83861029313545e-60,0.289141228741803,5.03833540582713e-06,TRUE
"SYT11","black",0.821903898810902,2.41323596722944e-60,0.336217899557682,8.84923227564448e-08,TRUE
"LRCH1","black",0.821441227596073,3.19381902512346e-60,0.458087338924866,6.6295106112086e-14,TRUE
"SLC6A14","pink",0.82085165774305,4.55925104360346e-60,0.623727055223658,2.20506191222514e-27,TRUE
"FMNL3","black",0.820827293441659,4.62668051020216e-60,0.357273646355152,1.1497698582027e-08,TRUE
"SERINC2","pink",0.820694424341713,5.0121446013887e-60,0.467518248761573,1.72350043167119e-14,TRUE
"ATXN1","black",0.819718048562582,9.00598167342544e-60,0.367352515607704,4.10092583426069e-09,TRUE
"HIP1","black",0.819706308268373,9.06947119754645e-60,0.31795621695768,4.61191512242476e-07,TRUE
"FUT11","black",0.819356745030202,1.11768656564475e-59,0.435634881019207,1.39309248937716e-12,TRUE
"TRIM29","pink",0.819080285065421,1.31808466685596e-59,0.595660985994923,1.55446050838495e-24,TRUE
"PLAU","black",0.818814533176445,1.54410592480504e-59,0.584487161142422,1.77684377116548e-23,TRUE
"PERP","pink",0.818498262770211,1.86350285442789e-59,0.470759665080189,1.07431616459955e-14,TRUE
"GNB1","black",0.817705891136411,2.97990820220165e-59,0.394633573766145,2.09406679136696e-10,TRUE
"ANXA2P2","pink",0.817370732120674,3.63194283343615e-59,0.591835500550664,3.61782536872443e-24,TRUE
"ADAMTS12","black",0.817056234835713,4.37136288485215e-59,0.552778200717852,1.09850642562755e-20,TRUE
"MCU","pink",0.816948217091858,4.65824319573978e-59,0.487179592093864,9.06293129991327e-16,TRUE
"TMEM54","pink",0.816453907205308,6.22754383103226e-59,0.460735403256314,4.56052481536488e-14,TRUE
"TNFAIP6","black",0.816286772448308,6.86855675415943e-59,0.410634601906841,3.20891019824282e-11,TRUE
"ADGRF1","pink",0.816201919395586,7.21855945267603e-59,0.521302666595132,3.40841070970988e-18,TRUE
"NID2","black",0.816194357413362,7.25059460978925e-59,0.272280082441185,1.81750498025115e-05,TRUE
"COL1A1","black",0.815133674351808,1.34660485857304e-58,0.477007842115588,4.25855176605776e-15,TRUE
"PDLIM7","black",0.813908960758503,2.73867652974454e-58,0.570268982478037,3.45501168119781e-22,TRUE
"GPC6","black",0.813871885589503,2.79793884151027e-58,0.353594250838043,1.66042299288468e-08,TRUE
"MAP4","black",0.81368386395113,3.11858147542324e-58,0.349806635611633,2.41215635774861e-08,TRUE
"PLCG1","black",0.813544705797087,3.37906252576892e-58,0.34237781193893,4.94708758221741e-08,TRUE
"CLTB","pink",0.812724736318046,5.41363886745442e-58,0.512233191843245,1.59844409113932e-17,TRUE
"PFKP","pink",0.812558827155517,5.95365230298635e-58,0.550256535227155,1.77907210323013e-20,TRUE
"CDC42SE1","black",0.812316952592583,6.83772437640826e-58,0.427300200240896,4.08027310368539e-12,TRUE
"TMC5","pink",0.81194697943808,8.44725533430355e-58,0.520718178914405,3.77060131055631e-18,TRUE
"KRT7","pink",0.811700953020453,9.71966903440061e-58,0.516188751284966,8.19300957334961e-18,TRUE
"CAPN2","pink",0.811609574737076,1.02390874346783e-57,0.555899051379925,6.01440412965318e-21,TRUE
"MXRA5","black",0.811553334693138,1.05723277997655e-57,0.497317448417786,1.84056214038546e-16,TRUE
"TMEM266","black",-0.811018765627686,1.43267678533648e-57,-0.431694209907983,2.32398806050846e-12,TRUE
"SPTAN1","black",0.810944162115446,1.49462886438223e-57,0.326842665918907,2.09339574927301e-07,TRUE
"LMO7","pink",0.810405982010648,2.027308576395e-57,0.506328699484806,4.26590746763282e-17,TRUE
"POSTN","black",0.81000133625569,2.5478854785645e-57,0.57859962263867,6.17937485717655e-23,TRUE
"SLPI","pink",0.809502445788683,3.37466711730985e-57,0.56723146282679,6.39397457465655e-22,TRUE
"STK38","black",0.809344677042331,3.68768070204472e-57,0.424150092736758,6.07828439909358e-12,TRUE
"TSC22D1","black",0.808086723155841,7.45809098766072e-57,0.456470891932358,8.31701938853379e-14,TRUE
"SPON1","black",0.807811554609499,8.69428916053425e-57,0.293961994491218,3.43754465320645e-06,TRUE
"GPRC5A","pink",0.807752121004171,8.98682432617004e-57,0.610878145284084,4.81481052601286e-26,TRUE
"MR1","black",0.807743099853778,9.03207008724879e-57,0.418046280453639,1.30048149888442e-11,TRUE
"MYL6","black",0.807667355771394,9.42096559231569e-57,0.453470689600724,1.2629661096694e-13,TRUE
"WBP1L","black",0.807084833613714,1.30204363176276e-56,0.340465284624442,5.93405154733261e-08,TRUE
