"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"NAE1",0.0687674080445735,7.15487516441877,1.06920745551329,0.286041520637279,0.35722569254225,-6.35085243261686,"Not Significant"
"HNRNPA1",-0.0858222833097351,8.83786993216311,-1.06919917116953,0.286045245144726,0.35722569254225,-6.35086119963939,"Not Significant"
"GJD3",-0.0569799294754185,6.53334532479923,-1.06880197458082,0.286223857017225,0.357426403254895,-6.35128145953185,"Not Significant"
"CCDC71",0.0348356538046151,6.56793532702851,1.06830848812404,0.286445874228312,0.357681288561909,-6.35180338492518,"Not Significant"
"SLC17A8",-0.0223318943332327,3.9463561873815,-1.06814261110377,0.286520527786331,0.357752142401962,-6.35197876759252,"Not Significant"
"PC",0.0605037125745937,5.61788331774815,1.06782401881538,0.286663948489099,0.357908845300742,-6.35231554127421,"Not Significant"
"LRRC3",0.0395676160435157,5.40032248227124,1.06760862900179,0.286760938162246,0.358007561650897,-6.35254316655204,"Not Significant"
"RNU5F-1",-0.0243090369106831,2.79033820743652,-1.06727641051667,0.286910579300749,0.358171994434573,-6.35289416790622,"Not Significant"
"SHLD2P1",-0.062577880051915,7.14593481945002,-1.06715407426734,0.28696569656613,0.358218412799942,-6.35302339350585,"Not Significant"
"GPR19",-0.0217338064153894,3.75820434306648,-1.06659461802772,0.287217845135604,0.358510763575713,-6.35361416846837,"Not Significant"
"BCL2L12",-0.0331470398363267,5.34183479095663,-1.06622275978789,0.287385525953141,0.358697650152349,-6.35400667380231,"Not Significant"
"DCUN1D5",-0.087377817073663,6.47291015101421,-1.06538032777524,0.287765646888469,0.359149652021387,-6.35489537961326,"Not Significant"
"MOGAT1",0.0714417833657888,3.56749806493153,1.06501703456479,0.287929676788898,0.359331919036641,-6.35527841335393,"Not Significant"
"SERPINF1",0.117751348835949,9.2695027938249,1.06411518527851,0.288337143461754,0.359817949737916,-6.35622870773646,"Not Significant"
"FAM89B",0.1068381262723,6.89884399127559,1.06253377063166,0.289052590173913,0.360688226159414,-6.35789314677058,"Not Significant"
"ACOT7",-0.0390144554525644,6.0574987886048,-1.06190223945306,0.289338636749786,0.36102260934784,-6.35855714821092,"Not Significant"
"COG3",-0.0559744377726181,7.46863059210251,-1.0615761615804,0.289486405976024,0.361184425820794,-6.35889983832954,"Not Significant"
"RIF1",0.08164487258043,8.23624834304824,1.06142599364925,0.289554475011718,0.361246788499941,-6.35905762159846,"Not Significant"
"REXO4",-0.0721441928819875,5.16939037568944,-1.0613597276091,0.28958451593525,0.361261702660089,-6.3591272410998,"Not Significant"
"CASP14",0.0567674917790355,3.64531021689966,1.06097385429214,0.289759488981268,0.361457409000241,-6.35953255639306,"Not Significant"
"PIH1D2",-0.0335497315189137,3.30827273810677,-1.06077698430769,0.289848786646514,0.3615365303196,-6.35973928929514,"Not Significant"
"ASIC1",-0.0362374137649217,4.46693592642237,-1.06075421286724,0.289859116678586,0.3615365303196,-6.35976319910142,"Not Significant"
"BTNL3",-0.0740027945962973,3.30430603352552,-1.06071022929334,0.289879070085062,0.361538841453577,-6.35980938001625,"Not Significant"
"HIRA",-0.0338756507068121,7.12134720619771,-1.06064941168044,0.28990666188491,0.361550678352223,-6.35987323284362,"Not Significant"
"CDC42",0.0451008879185579,6.87162865005905,1.06037353187316,0.290031845669901,0.361684215858812,-6.36016283539555,"Not Significant"
"WDR18",0.0662146180615348,6.57002806541456,1.06027816224902,0.290075129300123,0.361715609479377,-6.36026293151223,"Not Significant"
"NCF1",0.0461584819967626,6.35901163807647,1.06018338818717,0.290118146967475,0.361746667552803,-6.36036239371514,"Not Significant"
"HLCS",-0.0485677269432285,6.43289319916172,-1.06014273249392,0.290136601790986,0.361747096390335,-6.3604050578036,"Not Significant"
"SELENOI",0.0828434202910246,6.90783252872307,1.06001592668534,0.290194167810882,0.361796286614727,-6.36053811741983,"Not Significant"
"MIR503HG",-0.0521790475494877,6.22375653531357,-1.05989207114699,0.290250401963462,0.361825736029424,-6.36066806604253,"Not Significant"
"ATP5MF-PTCD1",0.0404274540791132,5.42370795953248,1.05986254147416,0.290263810415525,0.361825736029424,-6.36069904620948,"Not Significant"
"FUBP1",0.0589052065421836,8.99564701537236,1.059844211905,0.290272133480299,0.361825736029424,-6.36071827569482,"Not Significant"
"MEIS2",-0.0799273027729157,7.04397317597467,-1.05959519038599,0.290385224830681,0.361944117364619,-6.36097949063562,"Not Significant"
"DDX21",-0.113177726084203,8.31819488111988,-1.05907697359513,0.290620664926142,0.362214973245649,-6.36152288713846,"Not Significant"
"PCOLCE2",-0.0988777099100426,5.10560128584367,-1.05898340143084,0.290663191094949,0.362245372117708,-6.36162097782558,"Not Significant"
"PPM1H",-0.0448672382425306,6.17044399793148,-1.05811285029891,0.291059036332887,0.362716071357193,-6.36253315561879,"Not Significant"
"LCAL1",-0.0430962684862743,4.11434112481312,-1.05803093630515,0.291096301924152,0.362739879882277,-6.36261894819321,"Not Significant"
"SELENOO",-0.0682309598417898,7.07210647801742,-1.05747705772672,0.291348365718561,0.363021817109572,-6.36319887993299,"Not Significant"
"ZNF362",0.074984982113059,6.96993880214059,1.05745390806153,0.291358904079481,0.363021817109572,-6.3632231119547,"Not Significant"
"POU3F1",-0.074930317786345,6.59725404322566,-1.05731332741578,0.29142290577286,0.363078912169854,-6.36337025412548,"Not Significant"
"PADI6",-0.0228582257861891,4.08967939809806,-1.05706535931912,0.291535820581279,0.36319693633696,-6.36362974875467,"Not Significant"
"MGA",-0.0399101557289789,6.86105844686595,-1.05677788518334,0.291666761901349,0.363337401909539,-6.36393051034249,"Not Significant"
"SEC24B",0.0404192017370306,8.66160937820732,1.05635373257426,0.291860031390514,0.363555489054826,-6.36437411986573,"Not Significant"
"PSPN",-0.0457359160819859,5.90359033666915,-1.05622870271024,0.291917019052153,0.363603800108986,-6.36450485148478,"Not Significant"
"HCRT",-0.0448003995118382,4.99770451627746,-1.05603221095037,0.292006593703747,0.363692692064516,-6.36471027290803,"Not Significant"
"LURAP1L",-0.0621923919847323,7.47506131798488,-1.05598227103645,0.292029362761574,0.363698372103734,-6.36476247633087,"Not Significant"
"GFAP",-0.0410585235969441,5.7195317994132,-1.05543273823986,0.292279989999551,0.363971729344308,-6.36533675496756,"Not Significant"
"MRPS23",0.0465527852930778,5.40387977502264,1.0554211035955,0.292285297821303,0.363971729344308,-6.3653489103264,"Not Significant"
"SOX2",0.0560480985624077,4.48815618610719,1.05537871365981,0.292304637014446,0.36397312011262,-6.36539319632242,"Not Significant"
"FOSL1",0.0617338195725203,6.4684104171583,1.05465611347763,0.292634435658393,0.364361065817276,-6.3661478466363,"Not Significant"
"OSBPL9",0.0424637485051935,8.28035796546559,1.05458495119258,0.292666928104749,0.364378808325391,-6.36622213754662,"Not Significant"
"FST",0.123606956178793,5.92610862412627,1.05397655469317,0.292944819283294,0.364702058112971,-6.36685707924536,"Not Significant"
"C9orf72",-0.0616115255303233,6.63921153856948,-1.05373175152778,0.293056685842518,0.364818587910156,-6.36711246109477,"Not Significant"
"VWA3B",0.022684658615542,3.60392306184576,1.05300658371905,0.29338823168564,0.365208559123082,-6.36786862065859,"Not Significant"
"DLG4",0.0482054969326766,5.66648175472403,1.05292264074292,0.293426626660379,0.365233591382464,-6.36795611782847,"Not Significant"
"KIR2DL2",-0.0247928775784549,4.2552106025611,-1.05255546348864,0.293594611034063,0.365399083427103,-6.36833876034814,"Not Significant"
"BDKRB2",-0.0444666206912245,6.41327569689878,-1.05255205764964,0.29359616951645,0.365399083427103,-6.36834230901989,"Not Significant"
"NKG7",-0.0682119608215812,6.72541649189659,-1.0522313140413,0.293742964036697,0.36555900085165,-6.36867645286204,"Not Significant"
"LINC02913",-0.0366310981923172,4.85690303034957,-1.05205008786899,0.293825927600365,0.365639466568419,-6.36886520580631,"Not Significant"
"FLT1",0.0730988327218185,6.4874930475973,1.05156927560687,0.294046115364596,0.365890674575906,-6.36936583128748,"Not Significant"
"SOX30",-0.0339904550436794,4.07689582585138,-1.05149915093787,0.29407823822659,0.365907850890046,-6.36943882669356,"Not Significant"
"PNISR",-0.0558711414301403,8.68280641764734,-1.05141770318829,0.294115550962146,0.365931482180011,-6.3695236026659,"Not Significant"
"KLHL7",0.0605264567172537,5.96952377430847,1.05137239612127,0.294136308358457,0.365934514054925,-6.36957075831217,"Not Significant"
"KRT33B",-0.0452615761602084,4.95188642091012,-1.05123267747241,0.294200326568676,0.365991362909986,-6.36971616496095,"Not Significant"
"SLC9A3-OT1",0.0556695617872984,6.41530236359401,1.0506030260461,0.294488945539004,0.366327595328895,-6.37037121216158,"Not Significant"
"CASP8AP2",-0.0562279342194136,6.10726704954084,-1.05046885520454,0.294550471304456,0.366381312357405,-6.37051074426484,"Not Significant"
"PKD1L3",-0.0423795302654573,3.68499965473835,-1.04992121586167,0.29480168827081,0.36667095843584,-6.37108008331847,"Not Significant"
"TNFRSF18",-0.0441422134228109,6.38577829573464,-1.04966274880045,0.29492030426355,0.366795651143222,-6.37134868971879,"Not Significant"
"UGGT1",-0.0460872125653946,8.40009488836968,-1.04951793402261,0.294986776885568,0.366855481072931,-6.37149915675674,"Not Significant"
