"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"WFDC10A",-0.0912796718456628,4.13769071129111,-2.93658167855026,0.00363844693745401,0.00837333864918703,-2.70530664290606,"Not Significant"
"D2HGDH",-0.105907408022765,6.65807177427931,-2.93655408432373,0.00363875936091636,0.00837333864918703,-2.70538442927742,"Not Significant"
"UBE3B",0.108941655892685,7.34572164872322,2.93532705146004,0.00365267673911044,0.00840439640444556,-2.70884266939163,"Not Significant"
"FIGLA",-0.0827216197131344,4.03887879847038,-2.93521279507421,0.00365397514521719,0.00840635646966753,-2.70916461841215,"Not Significant"
"DPP4",0.362737866007319,6.58857471266842,2.93517802608526,0.00365437034275173,0.00840635646966753,-2.70926258735651,"Not Significant"
"SPIC",-0.168189556909478,3.38697600489306,-2.93504464300147,0.00365588678836018,0.00840887640611542,-2.70963841225102,"Not Significant"
"TRPA1",0.176926984133545,3.63396047339269,2.93467317044051,0.00366011313213621,0.00841762806002172,-2.71068500270969,"Not Significant"
"FAM24A",-0.0675846698066369,4.1460524902579,-2.93457865964296,0.00366118912013872,0.00841908766023308,-2.71095125869165,"Not Significant"
"ZNF2",-0.0768076131924866,4.56536976701418,-2.93454338467957,0.00366159079325347,0.00841908766023308,-2.71105063333443,"Not Significant"
"TIPRL",0.16714910379477,7.24792746442092,2.93383255922202,0.0036696935015196,0.00843674700729196,-2.71305289393308,"Not Significant"
"DAAM2",-0.186187311367705,5.04624003973129,-2.9337945093232,0.00367012769500296,0.00843677414892268,-2.71316006055843,"Not Significant"
"PDX1",-0.183834303264685,5.90866442305745,-2.93356557969602,0.00367274103984499,0.00844181007248145,-2.71380480804792,"Not Significant"
"ENOSF1",-0.153405661431815,7.57372049467945,-2.93327456791161,0.00367606554075913,0.00844780827013681,-2.71462433344539,"Not Significant"
"MIR196A2",-0.072294004363739,4.0134803795431,-2.93326310666365,0.00367619652969006,0.00844780827013681,-2.71465660819723,"Not Significant"
"GPR150",-0.195724419813088,6.82624123517293,-2.93304910190849,0.00367864314319729,0.00845245808607185,-2.71525922174677,"Not Significant"
"SLC25A52",-0.060912207636254,2.81397158791588,-2.93297777207881,0.00367945895380239,0.00845336014990212,-2.71546006950858,"Not Significant"
"ANP32E",0.278241077640258,6.18361173508923,2.93255331446869,0.00368431696688779,0.00846354768218709,-2.71665514673741,"Not Significant"
"RADX",-0.195083292994305,4.97598151353124,-2.93220086001672,0.00368835534595988,0.00847185023921373,-2.71764737389004,"Not Significant"
"PCGF2",0.113160825188119,7.3831234226702,2.93169481107242,0.00369416067270533,0.00848420895442294,-2.71907180502437,"Not Significant"
"IQSEC3",-0.0847330655061898,7.00856991218644,-2.93165043686318,0.00369467012618899,0.0084844034376292,-2.7191966990368,"Not Significant"
"POU4F2",-0.11166845075191,4.5115754869385,-2.93138878013405,0.003697675473983,0.00848990932588119,-2.71993311263906,"Not Significant"
"COL27A1",-0.106756294036496,6.56915316522062,-2.93136768646028,0.00369791784996327,0.00848990932588119,-2.71999247656639,"Not Significant"
"CDK15",0.112708406191385,3.97562546207308,2.93114752968051,0.00370044841983903,0.00849474275805824,-2.72061204007443,"Not Significant"
"ARL6IP4",-0.151786112819654,8.07586265174374,-2.93105151833149,0.00370155250857675,0.00849630082812135,-2.72088222090823,"Not Significant"
