"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"GLI3","green",0.738334433088314,9.10315507117427e-43,-0.289141228741803,5.03833540582709e-06,0.289141228741803,5.03833540582709e-06,TRUE,FALSE
"GOLIM4","green",0.784091439923358,2.0248422806896e-51,-0.386530857547806,5.21427850731761e-10,0.386530857547806,5.21427850731761e-10,TRUE,FALSE
"GPC6","green",0.810569356835836,1.84831587683639e-57,-0.353594250838044,1.66042299288463e-08,0.353594250838044,1.66042299288463e-08,TRUE,TRUE
"GPX8","green",0.852627887371075,2.55371321251587e-69,-0.432958584417847,1.97349465931279e-12,0.432958584417847,1.97349465931279e-12,TRUE,TRUE
"GRAMD2B","green",0.715194909804437,4.7323244166243e-39,-0.416368686654145,1.59857168671957e-11,0.416368686654145,1.59857168671957e-11,TRUE,FALSE
"GREM1","green",0.779390239300428,1.94956758603662e-50,-0.477777793332692,3.79464694302435e-15,0.477777793332692,3.79464694302435e-15,TRUE,FALSE
"GSDME","green",0.724866836212919,1.47261184027587e-40,-0.302768913212048,1.67890089861866e-06,0.302768913212048,1.67890089861866e-06,TRUE,FALSE
"GXYLT2","green",0.722187806183818,3.90751486401652e-40,-0.218819473691368,0.00062418543664763,0.218819473691368,0.00062418543664763,TRUE,FALSE
"HEPH","green",0.748912935605959,1.33740515426045e-44,-0.466583472633578,1.97337245057591e-14,0.466583472633578,1.97337245057591e-14,TRUE,FALSE
"HIF1A","green",0.718833012115581,1.30512475255018e-39,-0.347186406525592,3.11428564093803e-08,0.347186406525592,3.11428564093803e-08,TRUE,FALSE
"HIP1","green",0.69572293051553,3.36149313794613e-36,-0.31795621695768,4.61191512242478e-07,0.31795621695768,4.61191512242478e-07,TRUE,FALSE
"HK1","green",0.788101677165931,2.80362408346411e-52,-0.43963880152808,8.22618977733587e-13,0.43963880152808,8.22618977733587e-13,TRUE,FALSE
"HMGXB4","green",0.728032205813641,4.57968256071506e-41,-0.405360718129469,6.02093807017879e-11,0.405360718129469,6.02093807017879e-11,TRUE,FALSE
"HNRNPAB","green",0.680230837310463,4.33634034160334e-34,-0.291368045329254,4.22636542688031e-06,0.291368045329254,4.22636542688031e-06,TRUE,FALSE
"HOOK3","green",0.721382528466373,5.22782984697093e-40,-0.253433699217189,6.91916024499569e-05,0.253433699217189,6.91916024499569e-05,TRUE,FALSE
"ID3","green",0.67731959636595,1.04546048546226e-33,-0.341075719173907,5.60007137787735e-08,0.341075719173907,5.60007137787735e-08,TRUE,FALSE
"IGFBP3","green",0.703098082498478,2.977417841903e-37,-0.595998704773448,1.44197155945086e-24,0.595998704773448,1.44197155945086e-24,TRUE,FALSE
"IGFBP5","green",0.807641999771071,9.55481766744937e-57,-0.512299537249883,1.5807388782578e-17,0.512299537249883,1.5807388782578e-17,TRUE,TRUE
"IL1RAP","green",0.776489185039406,7.67141080831214e-50,-0.487721925395422,8.33316075195279e-16,0.487721925395422,8.33316075195279e-16,TRUE,FALSE
"INHBA","green",0.864322943798951,2.7339825165687e-73,-0.546155830110857,3.8632394020494e-20,0.546155830110857,3.8632394020494e-20,TRUE,TRUE
"INPP4B","green",0.802588199957652,1.5258968690684e-55,-0.526483606725178,1.38060214866188e-18,0.526483606725178,1.38060214866188e-18,TRUE,TRUE
"IQGAP1","green",0.872327553880765,3.15707136614151e-76,-0.466424849777323,2.01915059497708e-14,0.466424849777323,2.01915059497708e-14,TRUE,TRUE
"IRAG1","green",0.718546631959592,1.44546724676892e-39,-0.410627754882638,3.2115560284147e-11,0.410627754882638,3.2115560284147e-11,TRUE,FALSE
"IST1","green",0.766688868865192,6.76595450935681e-48,-0.418560277159165,1.22051643607307e-11,0.418560277159165,1.22051643607307e-11,TRUE,FALSE
"ITGA11","green",0.683478841819034,1.60499465720211e-34,-0.563589649306754,1.32637111135902e-21,0.563589649306754,1.32637111135902e-21,TRUE,FALSE
"ITGAV","green",0.793947348833844,1.45244147852957e-53,-0.408417200339117,4.18651071536723e-11,0.408417200339117,4.18651071536723e-11,TRUE,FALSE
"ITGB1","green",0.772162075500522,5.69949222589972e-49,-0.378816079689811,1.2148323960077e-09,0.378816079689811,1.2148323960077e-09,TRUE,FALSE
"ITGB1BP1","green",0.703529175649374,2.57812199193659e-37,-0.183927614872479,0.00417060386501725,0.183927614872479,0.00417060386501725,TRUE,FALSE
"ITGB5","green",0.834530211471791,8.28267473899217e-64,-0.548029019613934,2.71452767459022e-20,0.548029019613934,2.71452767459022e-20,TRUE,TRUE
"KCND2","green",0.782296753070605,4.83891871511912e-51,-0.419816625981398,1.04467448705571e-11,0.419816625981398,1.04467448705571e-11,TRUE,FALSE
"KCTD10","green",0.848656927378904,4.76115479942324e-68,-0.438901851155614,9.06845270754084e-13,0.438901851155614,9.06845270754084e-13,TRUE,TRUE
"KDM5B","green",0.694644103998968,4.76264459312819e-36,-0.419606467237963,1.07226518425703e-11,0.419606467237963,1.07226518425703e-11,TRUE,FALSE
"KDM8","green",-0.736163177638776,2.11083096522581e-42,0.352387272573473,1.87125926562469e-08,-0.352387272573473,1.87125926562469e-08,TRUE,FALSE
