"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0014911","GO:0014911","positive regulation of smooth muscle cell migration","4/78","51/18805",0.0784313725490196,18.9089994972348,8.26509355493424,5.90242078081802e-05,0.00223789655987611,0.00169471521635133,"ITGA2/IGFBP5/S100A11/POSTN",4
"GO:0014909","GO:0014909","smooth muscle cell migration","5/78","101/18805",0.0495049504950495,11.9351358212744,7.11141361648582,6.25923810362437e-05,0.00230659852761827,0.00174674187040382,"ITGA2/IGFBP5/S100A11/PLAU/POSTN",5
"GO:0044344","GO:0044344","cellular response to fibroblast growth factor stimulus","6/78","165/18805",0.0363636363636364,8.76689976689977,6.46703238850701,6.34968291855694e-05,0.00230659852761827,0.00174674187040382,"MST1R/SULF2/SULF1/MET/COL1A1/POSTN",6
"GO:0036293","GO:0036293","response to decreased oxygen levels","8/78","330/18805",0.0242424242424242,5.84459984459984,5.73008381704738,6.66214956943207e-05,0.00230659852761827,0.00174674187040382,"EDNRA/ITGA2/SLC2A1/EGLN3/PLAU/POSTN/INHBA/MMP14",8
"GO:0001667","GO:0001667","ameboidal-type cell migration","7/78","243/18805",0.0288065843621399,6.94497203756463,6.01975597171612,6.68212098494543e-05,0.00230659852761827,0.00174674187040382,"EDNRA/FN1/ITGA3/ACTA2/ITGB4/ITGA2/FERMT1",7
"GO:0007178","GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","9/78","427/18805",0.0210772833723653,5.08151684381193,5.50585442421413,6.7308150076403e-05,0.00230659852761827,0.00174674187040382,"ITGA3/FERMT1/CDH3/SULF1/GREM1/ITGB6/LEF1/TNFAIP6/INHBA",9
"GO:0071774","GO:0071774","response to fibroblast growth factor","6/78","173/18805",0.0346820809248555,8.36149399733215,6.2776571520424,8.25308743105743e-05,0.00277490600040459,0.00210138194371711,"MST1R/SULF2/SULF1/MET/COL1A1/POSTN",6
"GO:0006939","GO:0006939","smooth muscle contraction","5/78","110/18805",0.0454545454545455,10.9586247086247,6.76038285175484,9.39499197581865e-05,0.00310034735202016,0.00234783230272895,"EDNRA/SULF2/ACTA2/ITGA2/SULF1",5
"GO:0030111","GO:0030111","regulation of Wnt signaling pathway","8/78","350/18805",0.0228571428571429,5.51062271062271,5.49733011278662,0.000100316656725673,0.00319875333110903,0.00242235322256588,"SULF2/ITGA3/FERMT1/CDH3/SULF1/GREM1/LEF1/COL1A1",8
"GO:0048732","GO:0048732","gland development","9/78","451/18805",0.0199556541019956,4.81110353061573,5.28703239422248,0.000102126969724042,0.00319875333110903,0.00242235322256588,"EDNRA/SULF2/ITGA2/SULF1/IGFBP5/MET/CEACAM1/SERPINB5/LEF1",9
"GO:0032963","GO:0032963","collagen metabolic process","5/78","112/18805",0.0446428571428571,10.762934981685,6.68787616180014,0.000102317025742545,0.00319875333110903,0.00242235322256588,"CTSK/ITGA2/COL1A1/INHBA/MMP14",5
"GO:0014812","GO:0014812","muscle cell migration","5/78","115/18805",0.0434782608695652,10.4821627647715,6.58248673690704,0.000115927613890257,0.00356177599917997,0.00269726317617622,"ITGA2/IGFBP5/S100A11/PLAU/POSTN",5
"GO:0002062","GO:0002062","chondrocyte differentiation","5/78","116/18805",0.0431034482758621,10.3917992926614,6.5482173001072,0.000120759784630869,0.00364735485105437,0.00276207036390319,"SULF2/SULF1/GREM1/MBOAT2/ADAMTS12",5
"GO:0038065","GO:0038065","collagen-activated signaling pathway","4/78","62/18805",0.0645161290322581,15.5541770057899,7.40802197504634,0.000127286444772814,0.00374584577525442,0.00283665561100843,"MST1R/ITGA2/MET/COL1A1",4
"GO:0071772","GO:0071772","response to BMP","6/78","188/18805",0.0319148936170213,7.6943535188216,5.95348187369237,0.000130326845154756,0.00374584577525442,0.00283665561100843,"ITGA3/SULF1/GREM1/LEF1/ADAMTS12/TNFAIP6",6
"GO:0071773","GO:0071773","cellular response to BMP stimulus","6/78","188/18805",0.0319148936170213,7.6943535188216,5.95348187369237,0.000130326845154756,0.00374584577525442,0.00283665561100843,"ITGA3/SULF1/GREM1/LEF1/ADAMTS12/TNFAIP6",6
"GO:0061138","GO:0061138","morphogenesis of a branching epithelium","6/78","191/18805",0.031413612565445,7.57349979863069,5.89293702686798,0.0001420951521298,0.00401926287452864,0.00304370902306439,"EDNRA/SULF1/GREM1/MET/LEF1/MMP14",6
"GO:0048771","GO:0048771","tissue remodeling","6/78","192/18805",0.03125,7.53405448717949,5.8730472486424,0.000146199781147872,0.00407075015633607,0.00308269933275612,"EDNRA/CTSK/IGFBP5/GREM1/CEACAM1/MMP14",6
"GO:0016055","GO:0016055","Wnt signaling pathway","9/78","477/18805",0.0188679245283019,4.54886308659894,5.06674693661703,0.000155811942196529,0.00427164432298792,0.00323483254892227,"EDNRA/SULF2/ITGA3/FERMT1/CDH3/SULF1/GREM1/LEF1/COL1A1",9
"GO:0010812","GO:0010812","negative regulation of cell-substrate adhesion","4/78","66/18805",0.0606060606060606,14.6114996114996,7.14896308697819,0.000162400067879888,0.00438480183275697,0.00332052451390775,"COL1A1/POSTN/EFNA5/MMP14",4
