"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"PARP9","lightgreen",0.881609000902814,6.82872929731454e-80,-0.36767144829399,3.96697675253868e-09,0.36767144829399,3.96697675253868e-09,FALSE,TRUE
"RSAD2","lightgreen",0.90943922962237,4.73945194430639e-93,-0.455322480341603,9.76388711287229e-14,0.455322480341603,9.76388711287229e-14,FALSE,TRUE
"STAT1","lightgreen",0.914897914664524,3.93387483526021e-96,-0.405833104936112,5.69348900660133e-11,0.405833104936112,5.69348900660133e-11,FALSE,TRUE
"CD53","pink",0.919027949514373,1.32706272925816e-98,-0.209745458515259,0.00105396917645771,0.209745458515259,0.00105396917645771,FALSE,TRUE
"CD86","pink",0.877418179651615,3.35737497845058e-78,-0.211051864639513,0.000978687125583291,0.211051864639513,0.000978687125583291,FALSE,TRUE
"CLEC2B","pink",0.818134145594581,2.31280424554608e-59,-0.230910589096935,0.000300306166852279,0.230910589096935,0.000300306166852279,FALSE,TRUE
"CTSS","pink",0.822581969939783,1.59803738369744e-60,-0.245941624159627,0.000114501711840774,0.245941624159627,0.000114501711840774,FALSE,TRUE
"CYBB","pink",0.880842315073264,1.40788020504889e-79,-0.229838102460001,0.000320944811415814,0.229838102460001,0.000320944811415814,FALSE,TRUE
"ELOVL5","pink",0.8394677423004,3.04048216266664e-65,-0.210037738989489,0.00103667836073271,0.210037738989489,0.00103667836073271,FALSE,TRUE
"GNA13","pink",0.814166098081871,2.36047907840412e-58,-0.259962683430117,4.40426353161741e-05,0.259962683430117,4.40426353161741e-05,FALSE,TRUE
"GNB4","pink",0.851997803041528,4.08556121348697e-69,-0.282256236680001,8.5940237015985e-06,0.282256236680001,8.5940237015985e-06,FALSE,TRUE
"HLA-DMB","pink",0.812801879151599,5.17934333254712e-58,-0.20336763663279,0.00150387839795011,0.20336763663279,0.00150387839795011,FALSE,TRUE
"LCP1","pink",0.867350066563118,2.23083788658119e-74,-0.202676305338992,0.00156198152455165,0.202676305338992,0.00156198152455165,FALSE,TRUE
"MCUB","pink",0.91849148034947,2.82710882858991e-98,-0.244934732562827,0.000122376652278677,0.244934732562827,0.000122376652278677,FALSE,TRUE
"NPL","pink",0.816701016697366,5.38677342770426e-59,-0.224118043051515,0.000455133033771708,0.224118043051515,0.000455133033771708,FALSE,TRUE
"PLA2G7","pink",0.801255562780613,3.12621962599079e-55,-0.264518156541185,3.19079885948441e-05,0.264518156541185,3.19079885948441e-05,FALSE,TRUE
"PLXNC1","pink",0.838226953307773,7.04934047087911e-65,-0.300750564559089,1.98270750122548e-06,0.300750564559089,1.98270750122548e-06,FALSE,TRUE
"RFTN1","pink",0.855347670386993,3.2749032907834e-70,-0.229822007688472,0.000321264349289317,0.229822007688472,0.000321264349289317,FALSE,TRUE
"SP110","pink",0.801984684846802,2.11293891366929e-55,-0.246889484460996,0.000107524700867981,0.246889484460996,0.000107524700867981,FALSE,TRUE
"STK10","pink",0.817122684213506,4.20364283383655e-59,-0.212105176883243,0.000921627586928832,0.212105176883243,0.000921627586928832,FALSE,TRUE
"STK4","pink",0.893924799592542,2.92574642727872e-85,-0.22756500944639,0.000369122070556779,0.22756500944639,0.000369122070556779,FALSE,TRUE
"TLR6","pink",0.807376364986868,1.1075293562217e-56,-0.211228205220875,0.000968913400392767,0.211228205220875,0.000968913400392767,FALSE,TRUE
"TRIM22","pink",0.870712337279258,1.28158800391595e-75,-0.294048911658783,3.4137116242966e-06,0.294048911658783,3.4137116242966e-06,FALSE,TRUE
