"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"HMGCLL1","greenyellow",0.928854439405248,4.66660090249721e-105,-0.302313185983691,1.74334087005164e-06,FALSE
"HTR1F","greenyellow",0.787390937046559,3.99261153850132e-52,-0.27816769592864,1.17228577652824e-05,FALSE
"ICA1L","greenyellow",0.774136925729142,2.29477715667901e-49,-0.322468077221274,3.09807365812236e-07,FALSE
"INA","greenyellow",0.878911784319095,8.51727452532695e-79,-0.140899995258269,0.0287494497599343,FALSE
"ISL1","greenyellow",0.777775336444172,4.19010706329762e-50,-0.0930262946008198,0.149931926850868,FALSE
"KCNB2","greenyellow",0.868146994815075,1.14152499870769e-74,-0.253902201177608,6.70114176345071e-05,FALSE
"KCNH6","greenyellow",0.831090856707071,7.76640330864152e-63,-0.247410707624343,0.000103859984714446,FALSE
"KCNIP1","greenyellow",0.72010075949114,8.29146332328237e-40,-0.0548632993124095,0.396483568775771,FALSE
"KCNJ6","greenyellow",0.843947431930601,1.37426777004845e-66,-0.111618446880371,0.083776404145887,FALSE
"KCNK16","greenyellow",0.872087498307855,3.8925835637392e-76,-0.209435921068915,0.00107256966367006,FALSE
"KCNK17","greenyellow",0.803015339976713,1.21109873989088e-55,-0.273757375314129,1.62967821962887e-05,FALSE
"KCNMB2","greenyellow",0.920400584097264,1.87085337630044e-99,-0.217838047413485,0.000661257067279328,FALSE
"KIF5C","greenyellow",0.898079196193352,3.19530815186521e-87,-0.189105878165782,0.00320783260107074,FALSE
"LRRTM3","greenyellow",0.862618762622938,1.09142112863884e-72,-0.218066705064448,0.000652442547237212,FALSE
"MAP2","greenyellow",0.689552583853313,2.41571222259788e-35,-0.277742541385092,1.21041017485613e-05,FALSE
"MAP3K15","greenyellow",0.90221730528073,2.91379751306601e-89,-0.285749622168985,6.56586195557986e-06,FALSE
"MCF2L2","greenyellow",0.703972835239167,2.22242087955545e-37,-0.0310451711650392,0.631539903468749,FALSE
"MEIS2","greenyellow",0.666856062855363,2.27703225596527e-32,-0.068084222671112,0.29248854439043,FALSE
