"Gene","Module"
"ENPP7","blue"
"ENTPD4","blue"
"ENTPD8","blue"
"EPB41L4A-DT","blue"
"EPHA8","blue"
"EPOP","blue"
"EPX","blue"
"ERAP1","blue"
"ERCC6L2","blue"
"ERFE","blue"
"ERVFC1","blue"
"ERVFC1-1","blue"
"ERVK3-1","blue"
"ESPN","blue"
"ESPNL","blue"
"ESPNP","blue"
"ESRRA","blue"
"ETS2-AS1","blue"
"ETV2","blue"
"ETV3L","blue"
"EVA1B","blue"
"EVX2","blue"
"EXD3","blue"
"EXOC2","blue"
"EXOC3-AS1","blue"
"EXOC3L2","blue"
"EXOSC6","blue"
"EXTL1","blue"
"EZHIP","blue"
"F12","blue"
"F2RL3","blue"
"FADS1","blue"
"FADS6","blue"
"FAM110C","blue"
"FAM110D","blue"
"FAM120B","blue"
"FAM131B","blue"
"FAM131C","blue"
"FAM162B","blue"
"FAM174C","blue"
"FAM181B","blue"
"FAM201B","blue"
"FAM215A","blue"
"FAM219B","blue"
"FAM222A","blue"
"FAM43B","blue"
"FAM74A3","blue"
"FAM83E","blue"
"FAM83G","blue"
"FAM86EP","blue"
"FAM88C","blue"
"FAM89A","blue"
"FAM90A1","blue"
"FAM90A10","blue"
"FAM90A27P","blue"
"FAM98A","blue"
"FANCD2OS","blue"
"FASTKD3","blue"
"FBH1","blue"
"FBXL15","blue"
"FBXL16","blue"
"FBXL22","blue"
"FBXL9P","blue"
"FBXO30","blue"
"FBXO38","blue"
"FBXO41","blue"
"FBXO46","blue"
"FCN2","blue"
"FCSK","blue"
"FDXR","blue"
"FERD3L","blue"
"FERRY3","blue"
"FEV","blue"
"FEZF1","blue"
"FEZF2","blue"
"FGF17","blue"
"FGF22","blue"
"FGF23","blue"
"FGF3","blue"
"FGF4","blue"
"FGF8","blue"
"FGFBP3","blue"
"FHIP2A","blue"
"FIBCD1","blue"
"FIG4","blue"
"FIGNL2","blue"
"FIZ1","blue"
"FKRP","blue"
"FLJ13224","blue"
"FLJ30679","blue"
"FLJ38576","blue"
"FLRT1","blue"
"FLVCR1","blue"
"FOLR3","blue"
"FOXB1","blue"
"FOXB2","blue"
"FOXC1","blue"
"FOXC2","blue"
"FOXD1","blue"
"FOXD2","blue"
"FOXD3","blue"
"FOXE1","blue"
"FOXE3","blue"
"FOXH1","blue"
"FOXI1","blue"
"FOXI2","blue"
"FOXL2","blue"
"FOXN4","blue"
"FOXO3","blue"
"FRAT2","blue"
"FRG2B","blue"
"FRS3","blue"
"FSCN2","blue"
"FTCD","blue"
"FTHL17","blue"
"FTHL18P","blue"
"FUCA1","blue"
"FUS","blue"
"FUT5","blue"
"FUT7","blue"
"FZD2","blue"
"FZD9","blue"
"GAB4","blue"
"GABRD","blue"
"GADD45GIP1","blue"
"GAL","blue"
"GAL3ST3","blue"
"GALC","blue"
"GALK2","blue"
"GALNT9","blue"
"GALR1","blue"
"GALR2","blue"
"GALR3","blue"
"GAPDHS","blue"
"GARIN5B","blue"
"GATA3-AS1","blue"
"GATA5","blue"
"GBX2","blue"
"GCC2-AS1","blue"
"GCHFR","blue"
"GDF2","blue"
"GDF7","blue"
"GFAP","blue"
"GFRA4","blue"
"GGN","blue"
"GGNBP1","blue"
"GHITM","blue"
"GHRHR","blue"
"GJA3","blue"
"GJA8","blue"
"GJC2","blue"
"GJD3","blue"
"GLCE","blue"
"GLI4","blue"
"GLIS1","blue"
"GLT8D1","blue"
"GLTPD2","blue"
"GLYCTK","blue"
"GMEB1","blue"
"GMPR2","blue"
"GNG13","blue"
"GNG8","blue"
"GNRHR2","blue"
"GOLGA2P9","blue"
"GOLGA4-AS1","blue"
"GP1BB","blue"
"GP5","blue"
"GP6","blue"
"GPBP1","blue"
"GPC1-AS1","blue"
"GPC2","blue"
"GPR107","blue"
"GPR139","blue"
"GPR142","blue"
"GPR150","blue"
"GPR152","blue"
"GPR173","blue"
"GPR20","blue"
"GPR25","blue"
"GPR27","blue"
"GPR3","blue"
"GPR37L1","blue"
"GPR6","blue"
"GPR62","blue"
"GPR75-ASB3","blue"
"GPR78","blue"
"GPRIN1","blue"
"GPT","blue"
"GRIN1","blue"
"GRIN2C","blue"
"GRIN2D","blue"
"GRIN3B","blue"
"GRIP2","blue"
"GRK1","blue"
"GRM2","blue"
"GRM4","blue"
"GRM5","blue"
"GRM6","blue"
"GSC","blue"
"GSC2","blue"
"GSDMA","blue"
"GSG1L","blue"
"GSK3B","blue"
"GSX1","blue"
"GSX2","blue"
"GTF2H1","blue"
"GUCY2D","blue"
"GZMM","blue"
"H1-10-AS1","blue"
"H1-7","blue"
"H1-9P","blue"
"H2AZ2","blue"
"H2BW2","blue"
"H3-4","blue"
"HAGHL","blue"
"HAND1","blue"
"HAPLN2","blue"
"HAPLN4","blue"
"HAPSTR2","blue"
"HBM","blue"
"HBQ1","blue"
"HBZ","blue"
"HCN2","blue"
"HCN4","blue"
"HCRT","blue"
"HDHD5-AS1","blue"
"HEATR5A","blue"
"HELT","blue"
"HES2","blue"
"HES3","blue"
"HES4","blue"
"HES5","blue"
"HES6","blue"
"HES7","blue"
"HEXA","blue"
"HGC6.3","blue"
"HGFAC","blue"
"HGH1","blue"
"HHIPL1","blue"
"HIF3A","blue"
"HIKESHI","blue"
"HIPK4","blue"
"HJV","blue"
"HMCES","blue"
"HMCN2","blue"
"HMGB3P1","blue"
"HMX1","blue"
"HMX3","blue"
"HNMT","blue"
"HNRNPA1L2","blue"
"HNRNPC","blue"
"HNRNPD","blue"
"HNRNPH3","blue"
"HOXA1","blue"
"HOXA10","blue"
"HOXA13","blue"
"HOXA3","blue"
"HOXA7","blue"
"HOXB1","blue"
"HOXB13","blue"
"HOXC12","blue"
"HOXD1","blue"
"HOXD11","blue"
"HOXD12","blue"
"HOXD13","blue"
"HOXD3","blue"
"HOXD4","blue"
"HOXD8","blue"
"HPCA","blue"
"HPDL","blue"
"HR","blue"
"HRH3","blue"
"HRK","blue"
"HS3ST2","blue"
"HS3ST3A1","blue"
"HS3ST4","blue"
"HS3ST6","blue"
"HSD11B1L","blue"
"HSD17B1","blue"
"HSD17B11","blue"
"HSPB9","blue"
"HTR5A","blue"
"HTR6","blue"
"HTR7P1","blue"
"IAH1","blue"
"ICAM5","blue"
"IDH1","blue"
"IER5","blue"
"IER5L","blue"
"IFITM5","blue"
"IFNL1","blue"
"IFNL2","blue"
"IFNL3","blue"
"IFT52","blue"
"IGF2-AS","blue"
"IGFALS","blue"
"IGFBP1","blue"
"IGFBPL1","blue"
"IGLON5","blue"
"IL11","blue"
"IL17C","blue"
"IL17D","blue"
"IL17REL","blue"
"IL36RN","blue"
"ILF3","blue"
"INCA1","blue"
"ING4","blue"
"INHBB","blue"
"INHBE","blue"
"INO80B","blue"
"INSM1","blue"
"INSM2","blue"
"INSRR","blue"
"INSYN1","blue"
"INTS4P2","blue"
"INTS5","blue"
"INTU","blue"
"IP6K3","blue"
"IPO9","blue"
"IQCA1L","blue"
"IQCB1","blue"
"IQCG","blue"
"IRAG1-AS1","blue"
"IRF7","blue"
"IRGC","blue"
"IRX1","blue"
"IRX2","blue"
"IRX2-DT","blue"
"IRX3","blue"
"IRX4","blue"
"IRX6","blue"
"ISL2","blue"
"ISLR2","blue"
"ISM2","blue"
"ITFG1","blue"
"ITGA2B","blue"
"ITPKA","blue"
"IVL","blue"
"IZUMO2","blue"
"IZUMO4","blue"
"JMJD1C-AS1","blue"
"JOSD2","blue"
"JPH3","blue"
